entry_time,entry_price,exit_time,exit_price,direction,size,stop_level,exit_reason,raw_pnl,fees,net_pnl,symbol,day,prev_close,prev_atr,upper_level,lower_level,isFiltered,position_size,portfolio_pnl,equity,drawdown
2024-01-31 16:48:00+00:00,2340.3923,2024-01-31 19:18:00+00:00,2318.3849785714287,long,1.0,2318.3849785714287,stop_loss,-22.00732142857123,6.988165917857145,-28.995487346428376,ETHUSDT,2024-01-31,2303.42,88.0292857142857,2340.3923,2266.4477,False,0.1949462608501119,-5.652561839712946,208.85968935161202,-81.16701836754228
2024-02-01 15:10:00+00:00,2307.7401,2024-02-01 16:05:00+00:00,2284.995992857143,long,1.0,2284.995992857143,stop_loss,-22.744107142857047,6.889104139285713,-29.63321128214276,ETHUSDT,2024-02-01,2269.53,90.97642857142856,2307.7401,2231.3199000000004,False,0.18366048668321208,-5.4424500060647905,203.41723934554727,-81.65776678011524
2024-02-04 19:08:00+00:00,2266.8144,2024-02-04 20:51:00+00:00,2287.8951142857145,short,1.0,2287.8951142857145,stop_loss,-21.080714285714294,6.832064271428571,-27.912778557142865,ETHUSDT,2024-02-04,2302.23,84.3228571428571,2337.6456,2266.8144,False,0.19298894391201596,-5.386857655392966,198.0303816901543,-82.14350240289447
2024-02-05 16:06:00+00:00,2290.4032,2024-02-05 19:22:00+00:00,2310.5560571428573,short,1.0,2310.5560571428573,stop_loss,-20.1528571428571,6.901438885714285,-27.054296028571382,ETHUSDT,2024-02-05,2324.26,80.61142857142853,2358.1168,2290.4032,False,0.19652834363522853,-5.316935986712275,192.71344570344206,-82.62293315417807
2024-02-06 16:21:00+00:00,2354.1183,2024-02-07 13:00:00+00:00,2371.8,long,1.0,2336.518121428572,end_of_day,17.68170000000009,7.088877450000002,10.59282255000009,ETHUSDT,2024-02-06,2324.55,70.40071428571426,2354.1183,2294.9817000000003,False,0.21899033003709698,2.319725706248923,195.03317140969102,-82.41376233833635
2024-02-07 17:01:00+00:00,2400.4232,2024-02-08 13:00:00+00:00,2421.2,long,1.0,2383.2367714285715,end_of_day,20.77679999999964,7.2324348,13.54436519999964,ETHUSDT,2024-02-07,2371.55,68.74571428571429,2400.4232,2342.6768,False,0.22696183863809977,3.0740540289778124,198.10722543866882,-82.13657336403189
2024-02-08 15:19:00+00:00,2451.0519,2024-02-08 16:34:00+00:00,2433.25315,long,1.0,2433.25315,stop_loss,-17.798749999999927,7.326457574999999,-25.125207574999926,ETHUSDT,2024-02-08,2421.15,71.19500000000001,2451.0519,2391.2481,False,0.2226080207190615,-5.593072728426304,192.51415271024257,-82.64090350208032
2024-02-09 14:20:00+00:00,2482.7461000000003,2024-02-09 14:33:00+00:00,2500.909135714286,short,1.0,2500.909135714286,stop_loss,-18.1630357142858,7.475482853571428,-25.638518567857226,ETHUSDT,2024-02-09,2513.26,72.65214285714286,2543.7739,2482.7461000000003,False,0.21198455559807577,-5.434969964800228,187.07918274544238,-83.13097743562776
2024-02-11 03:35:00+00:00,2517.4992,2024-02-11 13:00:00+00:00,2521.42,long,1.0,2499.273485714286,end_of_day,3.920799999999872,7.558378800000001,-3.637578800000129,ETHUSDT,2024-02-10,2486.88,72.90285714285713,2517.4992,2456.2608,False,0.20529146875969556,-0.7467638945811573,186.33241885086125,-83.19831350585793
2024-02-12 06:44:00+00:00,2490.1388,2024-02-12 13:00:00+00:00,2487.93,short,1.0,2508.585942857143,end_of_day,2.2088000000003376,7.4671032,-5.258303199999663,ETHUSDT,2024-02-11,2521.13,73.78857142857143,2552.1212,2490.1388,False,0.2020176460862747,-1.0622700348718577,185.2701488159894,-83.29409892102136
